kanji,meanings
蔵,"storehouse, hide, own, have, possess"
臓,"entrails, viscera, bowels"
臨,"look to, face, meet, confront, attend, call on"
覧,"perusal, see"
律,"rhythm, law, regulation, gauge, control"
従,"accompany, obey, submit to, comply, follow, secondary, incidental, subordinate"
私,"private, I, me"
秘,"secret, conceal"
穀,"cereals, grain"
筋,"muscle, sinew, tendon, fiber, plot, plan, descent"
策,"scheme, plan, policy, step, means"
値,"price, cost, value"
仁,"humanity, virtue, benevolence, charity, man, kernel"
優,"tenderness, excel, surpass, actor, superiority, gentleness"
傷,"wound, hurt, injure, impair, pain, injury, cut, gash, scar, weak point"
賃,"fare, fee, hire, rent, wages, charge"
座,"squat, seat, cushion, gathering, sit"
善,"virtuous, good, goodness"
層,"stratum, social class, layer, story, floor"
尺,"shaku, Japanese foot, measure, scale, rule"
訳,"translate, reason, circumstance, case"
視,"inspection, regard as, see, look at"
宗,"religion, sect, denomination, main point, origin, essence"
宙,"mid-air, air, space, sky, memorization, interval of time"
届,"deliver, reach, arrive, report, notify, forward"
糖,"sugar"
巻,"scroll, volume, book, part, roll up, wind up, tie, coil, counter for texts (on book scrolls)"
片,"one-sided, leaf, sheet"
否,"negate, no, noes, refuse, decline, deny"
班,"squad, corps, unit, group"
射,"shoot, shine into, onto, archery"
孝,"filial piety, child's respect"
著,"renowned, publish, write, remarkable, phenomenal, put on, don, wear, arrival, finish (race), counter for suits of clothing, literary work"
署,"signature, govt office, police station"
諸,"various, many, several, together"
骨,"skeleton, bone, remains, frame"
障,"hinder, hurt, harm"
降,"descend, precipitate, fall, surrender"
陛,"highness, steps (of throne)"
穴,"hole, aperture, slit, cave, den"
探,"grope, search, look for"
縮,"shrink, contract, shrivel, wrinkle, reduce"
縦,"vertical, length, height, self-indulgent, wayward"
紅,"crimson, deep red"
納,"settlement, obtain, reap, pay, supply, store"
絹,"silk"
幼,"infancy, childhood"
磁,"magnet, porcelain"
系,"lineage, system"
疑,"doubt, distrust, be suspicious, question"
危,"dangerous, fear, uneasy"
卵,"egg, ovum, spawn, roe"
尊,"revered, valuable, precious, noble, exalted"
樹,"timber trees, wood"
盟,"alliance, oath"
盛,"boom, prosper, copulate"
朗,"melodious, clear, bright, serene, cheerful"
呼,"call, call out to, invite"
胸,"bosom, breast, chest, heart, feelings"
純,"genuine, purity, innocence, net (profit)"
収,"income, obtain, reap, pay, supply, store"
刻,"engrave, cut fine, chop, hash, mince, time, carving"
割,"proportion, comparatively, divide, cut, separate, split"
憲,"constitution, law"
拝,"worship, adore, pray to"
奏,"play music, speak to a ruler, complete"
棒,"rod, stick, cane, pole, club, line"
勤,"diligence, become employed, serve"
難,"difficult, impossible, trouble, accident, defect"
垂,"droop, suspend, hang, slouch"
簡,"simplicity, brevity"
閉,"closed, shut"
閣,"tower, tall building, palace"
創,"genesis, wound, injury, hurt, start, originate"
俳,"haiku, actor"
干,"dry, parch"
宇,"eaves, roof, house, heaven"
除,"exclude, division (x/3), remove, abolish, cancel, except"
痛,"pain, hurt, damage, bruise"
済,"finish, come to an end, excusable, need not"
映,"reflect, reflection, projection"
貴,"precious, value, prize, esteem, honor"
遺,"bequeath, leave behind, reserve"
並,"row, and, besides, as well as, line up, rank with, rival, equal"
供,"submit, offer, present, serve (meal), accompany"
異,"uncommon, queerness, strangeness, wonderful, curious, unusual"
論,"argument, discourse"
冊,"tome, counter for books, volume"
補,"supplement, supply, make good, offset, compensate, assistant, learner"
郵,"mail, stagecoach stop"
郷,"home town, village, native place, district"
派,"faction, group, party, clique, sect, school"
衆,"masses, great numbers, multitude, populace"
段,"grade, steps, stairs"
后,"empress, queen, after, behind, back, later"
詞,"part of speech, words, poetry"
革,"leather, become serious, skin, hide, pelt"
誤,"mistake, err, do wrong, mislead"
蒸,"steam, heat, sultry, foment, get musty"
宅,"home, house, residence, our house, my husband"
展,"unfold, expand"
脳,"brain, memory"
厳,"stern, strictness, severity, rigidity"
暖,"warmth"
鋼,"steel"
就,"concerning, settle, take position, depart, study, per"
晩,"nightfall, night"
劇,"drama, play"
