kanji,meanings,kunyomi,onyomi
助,"help, rescue, assist","たす.ける、たす.かる、す.ける、すけ","ジョ"
業,"business, vocation, arts, performance","わざ","ギョウ、ゴウ"
港,"harbor","みなと","コウ"
悪,"bad, vice, rascal, false, evil, wrong","わる.い、わる-、あ.し、にく.い、-にく.い、ああ、いずくに、いずくんぞ、にく.む","アク、オ"
部,"section, bureau, dept, class, copy, part, portion, counter for copies of a newspaper or magazine","へ、-べ","ブ"
都,"metropolis, capital","みやこ","ト、ツ"
面,"mask, face, features, surface","おも、おもて、つら","メン、ベン"
帳,"notebook, account book, album","とばり","チョウ"
島,"island","しま","トウ"
勉,"exertion","つと.める","ベン"
駅,"station","None","エキ"
農,"agriculture, farmers","None","ノウ"
送,"escort, send","おく.る","ソウ"
